code,label,wrvu,year,category,source
0001F,Heart failure composite,0.0,2026,Procedure,CMS
0005F,Osteoarthritis composite,0.0,2026,Procedure,CMS
00100,Anes px salivary gland w/bx,0.0,2026,Procedure,CMS
00102,Anes px plstc rpr cleft lip,0.0,2026,Procedure,CMS
00103,Anes rcnstv px eyelid,0.0,2026,Procedure,CMS
00104,Anes electroconvulsive ther,0.0,2026,Procedure,CMS
00120,Anes px ear w/bx nos,0.0,2026,Procedure,CMS
00124,Anes px ear otoscopy,0.0,2026,Procedure,CMS
00126,Anes px ear tympanotomy,0.0,2026,Procedure,CMS
0012F,Cap bacterial assess,0.0,2026,Procedure,CMS
00140,Anes procedures on eye nos,0.0,2026,Procedure,CMS
00142,Anes px on eye lens surgery,0.0,2026,Procedure,CMS
00144,Anes px eye corneal trnspl,0.0,2026,Procedure,CMS
00145,Anes px eye vitreortnl surg,0.0,2026,Procedure,CMS
00147,Anes px on eye iridectomy,0.0,2026,Procedure,CMS
00148,Anes px eye ophthalmoscopy,0.0,2026,Procedure,CMS
0014F,Comp preop assess cat surg,0.0,2026,Procedure,CMS
0015F,Melan follow-up complete,0.0,2026,Procedure,CMS
00160,Anes px nose&sinus nos,0.0,2026,Procedure,CMS
00162,Anes px nose&sinus rad surg,0.0,2026,Procedure,CMS
00164,Anes px nose&sins bx sft tis,0.0,2026,Procedure,CMS
00170,Anes intraoral px nos,0.0,2026,Procedure,CMS
00172,Anes ntroral px rpr clft pal,0.0,2026,Procedure,CMS
00174,Anes ntrorl exc rtrphrng tum,0.0,2026,Procedure,CMS
00176,Anes intraoral px rad surg,0.0,2026,Procedure,CMS
00190,Anes px facial b1/skull nos,0.0,2026,Procedure,CMS
00192,Anes px fcl b1/skl rad surg,0.0,2026,Procedure,CMS
00210,Anes intracranial px nos,0.0,2026,Procedure,CMS
00211,Anes icr px crnec/crnot hmtm,0.0,2026,Procedure,CMS
00212,Anes icr px subdural taps,0.0,2026,Procedure,CMS
00214,Anes icr px burr holes,0.0,2026,Procedure,CMS
00215,Anes icr px crnop/elvtn fx,0.0,2026,Procedure,CMS
00216,Anes icr px vascular px,0.0,2026,Procedure,CMS
00218,Anes icr px in sitting pos,0.0,2026,Procedure,CMS
00220,Anes icr px csf shunting px,0.0,2026,Procedure,CMS
00222,Anes icr px ecoag icr nrv,0.0,2026,Procedure,CMS
00300,Anes all px integ h/n/ptrunk,0.0,2026,Procedure,CMS
00320,Anes all px neck nos 1yr/>,0.0,2026,Procedure,CMS
00322,Anes all px nck ndl bx thyr,0.0,2026,Procedure,CMS
